Fuvar{taxi_id=2556, idotartam=480, indulas=2016-12-10 15:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.75, borravalo=0.0}
Fuvar{taxi_id=1750, idotartam=1140, indulas=2016-12-14 20:00:00, fizetes_modja=készpénz, tavolsag=9.0, viteldij=25.25, borravalo=0.0}
Fuvar{taxi_id=102, idotartam=406, indulas=2016-12-10 18:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=5140, idotartam=1320, indulas=2016-12-17 19:45:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=14.0, borravalo=0.0}
Fuvar{taxi_id=2374, idotartam=420, indulas=2016-12-07 16:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=7061, idotartam=780, indulas=2016-12-12 13:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.5, borravalo=0.0}
Fuvar{taxi_id=3478, idotartam=360, indulas=2016-12-07 18:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.75, borravalo=0.0}
Fuvar{taxi_id=6559, idotartam=900, indulas=2016-12-14 18:30:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=12.0, borravalo=0.0}
Fuvar{taxi_id=117, idotartam=420, indulas=2016-12-23 21:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.25, borravalo=0.0}
Fuvar{taxi_id=6196, idotartam=960, indulas=2016-12-02 18:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.25, borravalo=0.0}
Fuvar{taxi_id=7006, idotartam=300, indulas=2016-12-26 14:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=2697, idotartam=540, indulas=2016-12-30 20:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.0, borravalo=0.0}
Fuvar{taxi_id=6232, idotartam=480, indulas=2016-12-09 11:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.25, borravalo=0.0}
Fuvar{taxi_id=5548, idotartam=240, indulas=2016-12-12 15:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=5062, idotartam=600, indulas=2016-12-10 08:30:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=5659, idotartam=120, indulas=2016-12-04 02:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.75, borravalo=0.0}
Fuvar{taxi_id=4531, idotartam=540, indulas=2016-12-01 21:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=7.25, borravalo=0.0}
Fuvar{taxi_id=6043, idotartam=840, indulas=2016-12-03 02:15:00, fizetes_modja=készpénz, tavolsag=4.0, viteldij=13.5, borravalo=0.0}
Fuvar{taxi_id=5757, idotartam=360, indulas=2016-12-10 18:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.75, borravalo=0.0}
Fuvar{taxi_id=4097, idotartam=300, indulas=2016-12-09 20:45:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.75, borravalo=0.0}
Fuvar{taxi_id=6197, idotartam=300, indulas=2016-12-13 11:00:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=1262, idotartam=240, indulas=2016-12-15 10:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=53, idotartam=300, indulas=2016-12-18 01:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.5, borravalo=0.0}
Fuvar{taxi_id=3338, idotartam=2400, indulas=2016-12-31 21:45:00, fizetes_modja=készpénz, tavolsag=26.0, viteldij=64.0, borravalo=0.0}
Fuvar{taxi_id=2341, idotartam=1200, indulas=2016-12-08 00:30:00, fizetes_modja=készpénz, tavolsag=7.0, viteldij=21.0, borravalo=0.0}
Fuvar{taxi_id=6923, idotartam=240, indulas=2016-12-20 17:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.25, borravalo=0.0}
Fuvar{taxi_id=2163, idotartam=660, indulas=2016-12-14 07:30:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=11.5, borravalo=0.0}
Fuvar{taxi_id=4715, idotartam=540, indulas=2016-12-30 22:15:00, fizetes_modja=készpénz, tavolsag=4.0, viteldij=13.5, borravalo=0.0}
Fuvar{taxi_id=4494, idotartam=300, indulas=2016-12-27 21:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.5, borravalo=0.0}
Fuvar{taxi_id=2179, idotartam=360, indulas=2016-12-11 11:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.5, borravalo=0.0}
Fuvar{taxi_id=3235, idotartam=300, indulas=2016-12-27 13:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=3645, idotartam=1080, indulas=2016-12-01 10:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=10.75, borravalo=0.0}
Fuvar{taxi_id=8271, idotartam=240, indulas=2016-12-03 15:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=8661, idotartam=0, indulas=2016-12-02 18:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=8396, idotartam=2100, indulas=2016-12-02 14:15:00, fizetes_modja=készpénz, tavolsag=10.0, viteldij=30.0, borravalo=0.0}
